process model
cuda:2 cuda:2 cuda:2 cuda:2 cuda:2 cuda:2
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0068, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0137, device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0205, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0137, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0137, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0342, device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0137, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0205, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0137, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0137, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0205, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0342, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0342, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0274, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0137, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0137, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0137, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0137, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0137, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0137, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0137, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0205, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0137, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0137, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0137, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0068, device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0068, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0137, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0137, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0137, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0205, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0205, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0274, device='cuda:2', dtype=torch.float64) 0.292
process model
cuda:2 cuda:2 cuda:2 cuda:2 cuda:2 cuda:2
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
client0 closes
process model
cuda:4 cuda:4 cuda:4 cuda:4 cuda:4 cuda:4
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0284, device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0071, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0071, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0142, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0142, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0142, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0213, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0284, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0213, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0071, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0071, device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0071, device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0213, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0071, device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0142, device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0142, device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0071, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0071, device='cuda:4', dtype=torch.float64) 0.282
process model
cuda:4 cuda:4 cuda:4 cuda:4 cuda:4 cuda:4
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
client2 closes
process model
cuda:3 cuda:3 cuda:3 cuda:3 cuda:3 cuda:3
tensor(0., device='cuda:3', dtype=torch.float64) 0.426
tensor(0., device='cuda:3', dtype=torch.float64) 0.426
tensor(0., device='cuda:3', dtype=torch.float64) 0.426
tensor(0.0751, device='cuda:3', dtype=torch.float64) 0.426
tensor(0., device='cuda:3', dtype=torch.float64) 0.426
tensor(0., device='cuda:3', dtype=torch.float64) 0.426
tensor(0., device='cuda:3', dtype=torch.float64) 0.426
tensor(0., device='cuda:3', dtype=torch.float64) 0.426
tensor(0., device='cuda:3', dtype=torch.float64) 0.426
tensor(0., device='cuda:3', dtype=torch.float64) 0.426
tensor(0., device='cuda:3', dtype=torch.float64) 0.426
tensor(0., device='cuda:3', dtype=torch.float64) 0.426
tensor(0.0047, device='cuda:3', dtype=torch.float64) 0.426
tensor(0., device='cuda:3', dtype=torch.float64) 0.426
tensor(0.0047, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.0141, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.0094, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.0141, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.0469, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.0141, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.0329, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.0563, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.0423, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.0423, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.0751, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.0563, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.0610, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.0188, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.0657, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.1268, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.1408, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.1127, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.1221, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.1596, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.1596, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.1596, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.1643, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.1315, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.1268, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.1408, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.1408, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.1268, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.1033, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.0892, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.0939, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.1127, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.1362, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.1502, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.1455, device='cuda:3', dtype=torch.float64) 0.426
tensor(0.1362, device='cuda:3', dtype=torch.float64) 0.426
process model
cuda:3 cuda:3 cuda:3 cuda:3 cuda:3 cuda:3
tensor(0., device='cuda:3', dtype=torch.float64) 0.426
client1 closes
process model
cuda:2 cuda:2 cuda:2 cuda:2 cuda:2 cuda:2
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0., device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0068, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0411, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0753, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.1575, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.2877, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.2945, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.0959, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.3630, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.2945, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.2808, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.2260, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.3014, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.2192, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.3562, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.1986, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.1986, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.3082, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.3425, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.2877, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.2603, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.2123, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.2466, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.2945, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.2945, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.3014, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.3219, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.2877, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.2945, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.3014, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.2466, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.1986, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.2671, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.2534, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.2671, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.3356, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.3836, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.4110, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.3973, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.3973, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.3904, device='cuda:2', dtype=torch.float64) 0.292
tensor(0.3630, device='cuda:2', dtype=torch.float64) 0.292
process model
cuda:2 cuda:2 cuda:2 cuda:2 cuda:2 cuda:2
tensor(0.0274, device='cuda:2', dtype=torch.float64) 0.292
client0 closes
process model
cuda:4 cuda:4 cuda:4 cuda:4 cuda:4 cuda:4
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0., device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0213, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0284, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0284, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0426, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0213, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0071, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0355, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0426, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0284, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0355, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0426, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0355, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0426, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0426, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0426, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0426, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0426, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0426, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0496, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0496, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0496, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0426, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0426, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0426, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0426, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0496, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0922, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0496, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0426, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0426, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0496, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0426, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0426, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0426, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0426, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0496, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0496, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0496, device='cuda:4', dtype=torch.float64) 0.282
tensor(0.0496, device='cuda:4', dtype=torch.float64) 0.282
