process model
cuda:2 cuda:2 cuda:2 cuda:2 cuda:2 cuda:2
tensor(0.0651, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.3136, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.0178, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.0651, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.3905, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.4320, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.3254, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.3669, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.4675, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.4260, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5089, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5680, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5030, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.4970, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5325, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5385, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5503, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5621, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5621, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5858, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5799, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5740, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5680, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5444, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5503, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.6036, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.6036, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.6036, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.6036, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.6154, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.6154, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.6095, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5799, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5680, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5799, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.6154, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.6450, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.6509, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5917, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5917, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5444, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5976, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.6450, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.6391, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.6450, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.6272, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.5858, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.4852, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.3136, device='cuda:2', dtype=torch.float64) 0.338
tensor(0.3728, device='cuda:2', dtype=torch.float64) 0.338
process model
cuda:2 cuda:2 cuda:2 cuda:2 cuda:2 cuda:2
tensor(0.5503, device='cuda:2', dtype=torch.float64) 0.338
client0 closes
process model
cuda:4 cuda:4 cuda:4 cuda:4 cuda:4 cuda:4
tensor(0.0118, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.0178, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.4438, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.0178, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.1953, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.0178, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.2781, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.1893, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.3669, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.0296, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.0355, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.1243, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.3314, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.1716, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.1065, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.0947, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.1420, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.0769, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.1420, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.2130, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.2249, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.2604, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.2840, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.3195, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.4083, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.3964, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.4083, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.4201, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.4793, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.5207, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.5621, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.6036, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.6568, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.7396, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.6450, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.5976, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.5799, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.5444, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.5444, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.5325, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.6805, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.7633, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.7988, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.7811, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.5917, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.8225, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.7219, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.3728, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.1953, device='cuda:4', dtype=torch.float64) 0.338
tensor(0.1953, device='cuda:4', dtype=torch.float64) 0.338
process model
cuda:4 cuda:4 cuda:4 cuda:4 cuda:4 cuda:4
tensor(0.1479, device='cuda:4', dtype=torch.float64) 0.338
client2 closes
process model
cuda:3 cuda:3 cuda:3 cuda:3 cuda:3 cuda:3
tensor(0.4198, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.0309, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.0123, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.4383, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.0741, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.0556, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.3395, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.1852, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.0741, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.0741, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.0679, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.0864, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.0741, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.0617, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.0741, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.0864, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.1049, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.1049, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.1173, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.1852, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.1914, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.1852, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.2037, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.2037, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.2160, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.2407, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.2531, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.2593, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.2840, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.3148, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.3025, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.2778, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.2593, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.2407, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.2593, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.2778, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.2778, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.2840, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.3210, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.3210, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.3148, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.3086, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.2716, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.2469, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.1605, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.2963, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.3210, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.1173, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.0802, device='cuda:3', dtype=torch.float64) 0.324
tensor(0.0802, device='cuda:3', dtype=torch.float64) 0.324
process model
